SubID	Agent fee	Seats	Travel from	Destination	Vehicle class
bpb-suvarnabhumi-airport-to-pattaya-homepageairporthighlight	EUR 0.26	2	Suvarnabhumi	Pattaya North Bus Station	bus
bpb-pattaya-to-bangkok-mobilesticky	EUR 0.52	2	Pattaya North Bus Station	Suvarnabhumi	bus
bpb-pattaya-to-bangkok-mobilesticky	EUR 1.25	2	Pattaya North Bus Station	Ekkamai	bus
bpb-suvarnabhumi-airport-to-pattaya-routeairporttransfer	EUR 1.58	2	Pattaya Transfer	Suvarnabhumi	bus
bpb-suvarnabhumi-airport-to-pattaya-routeairporttransfer	EUR 1.58	2	Suvarnabhumi	Pattaya Transfer	bus
bpb-don-mueang-airport-to-pattaya-desktopsidebar	EUR 0.20	1	Don Mueang Bus Station	Pattaya Bus Terminal	bus
bpb-pattaya-to-don-mueang-airport-mobilesticky	EUR 0.20	1	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-don-mueang-airport-to-pattaya-mobilesticky	EUR 0.40	2	Don Mueang Bus Station	Pattaya Bus Terminal	bus
bpb-suvarnabhumi-airport-to-pattaya-mobilesticky	EUR 2.30	2	Bali Hai Pier	Naban Pier	ferry
bpb-pattaya-to-don-mueang-airport-desktopsidebar	EUR 0.40	2	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-don-mueang-airport-to-pattaya-mobilesticky	EUR 0.40	2	Don Mueang Bus Station	Pattaya Bus Terminal	bus
bpb-bangkok-to-pattaya-mobilesticky	EUR 0.21	1	Pattaya North Bus Station	Mochit	bus
bpb-bangkok-to-pattaya-mobilesticky	EUR 0.21	1	Mochit	Pattaya North Bus Station	bus
bpb-pattaya-to-bangkok-desktopsidebar	EUR 0.62	1	Pattaya North Bus Station	Ekkamai	bus
bpb-pattaya-to-don-mueang-airport-routehelpbusfull	EUR 0.40	2	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-pattaya-to-don-mueang-airport-mobilesticky	EUR 0.40	2	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-suvarnabhumi-airport-to-pattaya-mobilesticky	EUR 0.30	1	Suvarnabhumi	Pattaya North Bus Station	bus
bpb-pattaya-to-suvarnabhumi-airport-mobilesticky	EUR 0.26	1	Pattaya North Bus Station	Suvarnabhumi	bus
bpb-bangkok-to-pattaya-mobilesticky	EUR 0.39	3	Suvarnabhumi	Pattaya North Bus Station	bus
bpb-pattaya-to-bangkok-guideshortanswer	EUR 0.22	1	Pattaya North Bus Station	Suvarnabhumi	bus
bpb-bangkok-to-pattaya-mobilesticky	EUR 3.36	5	Pattaya North Bus Station	Ekkamai	bus
bpb-bangkok-to-pattaya-mobilesticky	EUR 6.91	1	Bangkok Town Hotel Transfer	Pattaya Town Transfer	charter
bpb-don-mueang-airport-to-pattaya-mobilesticky	EUR 0.41	2	Don Mueang Bus Station	Pattaya Bus Terminal	bus
bpb-pattaya-to-don-mueang-airport-desktopsidebar	EUR 0.20	1	Pattaya Bus Terminal	Don Mueang Bus Station	bus
bpb-pattaya-to-suvarnabhumi-airport-routehelpbusfull	EUR 0.60	2	Pattaya North Bus Station	Suvarnabhumi	bus
bpb-pattaya-to-suvarnabhumi-airport-mobilesticky	EUR 0.13	1	Pattaya North Bus Station	Suvarnabhumi	bus
